dt,RightFoot_px,RightFoot_py,RightFoot_pz,RightFoot_rx,RightFoot_ry,RightFoot_rz,LeftFoot_px,LeftFoot_py,LeftFoot_pz,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,
0.0226515,1.343867,0.1095081,-0.04352701,359.9564,92.7625,90.51764,1.377599,0.1059101,0.1041415,1.347926,81.61819,88.49754,
0.0217585,1.344048,0.1093276,-0.04365015,359.9519,92.75892,90.50478,1.377775,0.1058663,0.1042125,1.33129,81.6173,88.49989,
0.014991,1.344076,0.1093349,-0.04365635,359.9555,92.76752,90.50905,1.377795,0.1058784,0.1042025,1.333691,81.61469,88.50166,
0.0197597,1.344127,0.1092257,-0.04370129,359.9533,92.77424,90.51227,1.377775,0.1058733,0.104139,1.335816,81.6134,88.50069,
0.0173122,1.343976,0.1092941,-0.04367375,359.9574,92.75665,90.50777,1.377657,0.1058867,0.1041297,1.342487,81.61076,88.50413,
0.0163337,1.343988,0.1093035,-0.04359949,359.9576,92.76368,90.50546,1.377684,0.1057787,0.104202,1.351574,81.6123,88.51228,
0.0158629,1.34396,0.1093424,-0.04357255,359.9536,92.76448,90.50996,1.377697,0.1058104,0.1041803,1.35074,81.61842,88.51031,
0.0158017,1.343942,0.109388,-0.04369593,359.9448,92.76026,90.50661,1.377603,0.1058503,0.1041012,1.348146,81.61961,88.49307,
0.0185888,1.343979,0.1092544,-0.04357815,359.9468,92.76211,90.50743,1.377617,0.1058641,0.1041155,1.347152,81.62391,88.5041,
0.0153309,1.343988,0.1092477,-0.04356289,359.9438,92.76563,90.50762,1.377631,0.1058624,0.1040981,1.346378,81.63074,88.48588,
0.0165506,1.344019,0.1093186,-0.04354799,359.9449,92.76041,90.50887,1.377764,0.1059423,0.1041733,1.347278,81.63046,88.50158,
0.0162356,1.343967,0.1093835,-0.0436002,359.9436,92.76067,90.50712,1.377688,0.1059124,0.1040812,1.345099,81.61951,88.50626,
0.0153164,1.344017,0.1093923,-0.04363334,359.949,92.7569,90.50449,1.377815,0.1058835,0.1041373,1.346885,81.6152,88.49091,
0.0153837,1.344033,0.1093552,-0.04366231,359.9456,92.74666,90.51183,1.377887,0.1057543,0.1042502,1.357749,81.62862,88.50479,
0.0174889,1.344027,0.1093584,-0.04366374,359.943,92.75876,90.50803,1.377895,0.1057417,0.1042571,1.356689,81.63181,88.50838,
0.0154709,1.343916,0.1093601,-0.04354,359.9451,92.75523,90.50827,1.377572,0.1057441,0.1042684,1.356616,81.6228,88.4994,
0.0161746,1.343974,0.1092872,-0.04352093,359.9407,92.76179,90.50719,1.377643,0.1057858,0.10437,1.348482,81.62037,88.5009,
0.0155298,1.343982,0.1093194,-0.04355872,359.9468,92.74542,90.50548,1.377709,0.1058006,0.1043444,1.350008,81.62663,88.4959,
0.0170834,1.343935,0.1093086,-0.04370809,359.9507,92.75685,90.51738,1.377716,0.1057906,0.1041253,1.349499,81.63133,88.49291,
0.0168545,1.34396,0.1093165,-0.04368341,359.9405,92.7619,90.50867,1.377653,0.1058331,0.1041441,1.356042,81.63542,88.4967,
0.0162469,1.344061,0.1093537,-0.04367566,359.9362,92.75903,90.50701,1.377789,0.1058818,0.1041522,1.345915,81.62719,88.49323,
0.0157901,1.344089,0.1093647,-0.04365516,359.9347,92.7549,90.51315,1.377786,0.1058889,0.1041203,1.335619,81.63062,88.49724,
0.017409,1.344028,0.109361,-0.04368401,359.9367,92.75415,90.49879,1.377767,0.1057425,0.1041324,1.339637,81.62771,88.50192,
0.0177596,1.344041,0.1093716,-0.04367912,359.9397,92.75404,90.51044,1.377709,0.1057121,0.1040881,1.349528,81.62966,88.50052,
0.0170802,1.343997,0.1094624,-0.0436852,359.9328,92.75813,90.5153,1.377816,0.1058327,0.1040027,1.353379,81.6323,88.49471,
0.0176824,1.343994,0.1094112,-0.04362202,359.9212,92.75805,90.51447,1.377833,0.1058215,0.1041214,1.342865,81.62812,88.50687,
0.0161241,1.344042,0.1094092,-0.04362571,359.9375,92.75828,90.50375,1.377808,0.1057981,0.1041163,1.351688,81.63719,88.49856,
0.0153624,1.344031,0.1093611,-0.04366601,359.9248,92.75951,90.51164,1.37775,0.105832,0.104113,1.34936,81.63914,88.49139,
0.01663,1.344055,0.1093625,-0.04364944,359.9324,92.75782,90.50813,1.377727,0.1058613,0.1040854,1.339608,81.63139,88.49021,
0.0167113,1.343998,0.1093972,-0.04357815,359.9242,92.76748,90.49911,1.37768,0.1059016,0.1041065,1.34335,81.63549,88.49938,
0.017256,1.343956,0.1093664,-0.04353631,359.9409,92.7631,90.50747,1.377658,0.1058483,0.1042049,1.344334,81.62659,88.50895,
0.0166756,1.344045,0.1093211,-0.04347825,359.9323,92.7598,90.50387,1.377757,0.1057808,0.1042718,1.348042,81.63651,88.50866,
0.0170861,1.344054,0.1093158,-0.04346442,359.93,92.76021,90.51082,1.377744,0.1057922,0.1042972,1.353446,81.63687,88.50256,
0.0166548,1.344072,0.1093762,-0.04350984,359.9318,92.76041,90.50679,1.377839,0.1057136,0.1042335,1.356744,81.63868,88.50887,
0.0176293,1.344031,0.109392,-0.04358542,359.9322,92.75562,90.51656,1.377793,0.1058315,0.1041714,1.353663,81.63314,88.48871,
0.0159234,1.344006,0.1093159,-0.04361475,359.9375,92.77585,90.51073,1.377772,0.1056677,0.104193,1.36353,81.64557,88.49467,
0.0166897,1.344006,0.1093159,-0.04361475,359.9375,92.77585,90.51073,1.377772,0.1056677,0.104193,1.36353,81.64557,88.49467,
0.0164104,1.344003,0.109363,-0.04365492,359.9343,92.75897,90.51389,1.377788,0.1058417,0.1042564,1.351364,81.64462,88.49374,
0.0172789,1.344097,0.1093704,-0.04373336,359.938,92.77226,90.51015,1.377801,0.1058322,0.1041515,1.355017,81.64013,88.49595,
0.0156233,1.34404,0.1093292,-0.04354393,359.9346,92.7625,90.51823,1.377742,0.1058536,0.1040629,1.366437,81.64627,88.49542,
0.0220737,1.344033,0.1093482,-0.04369116,359.9355,92.76616,90.5135,1.377812,0.1058639,0.104068,1.367827,81.63766,88.49182,
0.0225705,1.344104,0.1093887,-0.04370809,359.9375,92.77164,90.50929,1.377831,0.1059556,0.1039896,1.37565,81.63292,88.49599,
0.0218874,1.344087,0.1094248,-0.04369318,359.9388,92.77115,90.51205,1.377794,0.1058246,0.1040599,1.358256,81.62363,88.47863,
0.0233061,1.34401,0.1093628,-0.04355872,359.9316,92.77941,90.51266,1.37771,0.1057321,0.1042178,1.35878,81.63569,88.48548,
0.0209257,1.344077,0.1093033,-0.04359162,359.9331,92.76325,90.51379,1.377695,0.10574,0.1041402,1.358497,81.62754,88.48872,
0.0226643,1.344057,0.1093865,-0.04356217,359.9291,92.76703,90.50216,1.377772,0.1059377,0.1041727,1.35308,81.62772,88.48515,
0.0215765,1.344124,0.109437,-0.0435605,359.9386,92.76085,90.50188,1.37789,0.1058057,0.1040652,1.365511,81.62616,88.48473,
0.0233085,1.344097,0.1093791,-0.04364574,359.9351,92.7648,90.50468,1.377873,0.1057862,0.1041133,1.362837,81.6291,88.48318,
0.0214191,1.344058,0.1093751,-0.0437274,359.936,92.77106,90.49175,1.377879,0.1057277,0.1041076,1.361276,81.62502,88.49364,
0.0218621,1.344079,0.1093602,-0.04363275,359.9324,92.76456,90.4969,1.377865,0.1057214,0.1041152,1.357608,81.62239,88.48833,
0.0223486,1.344148,0.109392,-0.04364038,359.9289,92.76727,90.50455,1.377889,0.1058064,0.1040809,1.362182,81.61887,88.48797,
0.0221223,1.344069,0.109362,-0.04371893,359.9349,92.77489,90.50793,1.377832,0.1057743,0.1041489,1.362673,81.62781,88.49639,
0.0228954,1.344028,0.1094012,-0.04376841,359.9347,92.77678,90.51112,1.377761,0.1058304,0.104064,1.36736,81.62715,88.49713,
0.0217008,1.344153,0.1092829,-0.04372108,359.9315,92.77016,90.51195,1.377749,0.1060263,0.1040578,1.36258,81.62702,88.50848,
0.0216859,1.344127,0.1094006,-0.04365909,359.9362,92.76411,90.5093,1.377878,0.1059942,0.1040471,1.376766,81.62676,88.5034,
0.02266,1.344073,0.1093555,-0.04366827,359.9366,92.76582,90.50925,1.377772,0.1059734,0.1039543,1.374745,81.6173,88.5051,
0.0221682,1.344101,0.1093355,-0.04357171,359.9437,92.769,90.50182,1.37784,0.1058193,0.1041218,1.367264,81.62574,88.50703,
0.022496,1.344079,0.1093968,-0.04361236,359.9537,92.76606,90.50495,1.377839,0.1057847,0.104146,1.357643,81.62624,88.49814,
0.0212988,1.344182,0.1093618,-0.04355073,359.9474,92.76878,90.50034,1.377892,0.1057329,0.1041131,1.363434,81.62557,88.50229,
0.016175,1.344212,0.1093688,-0.0435406,359.95,92.77026,90.50884,1.37781,0.1057658,0.1040826,1.364471,81.61292,88.50793,
0.0153185,1.3442,0.1094238,-0.04358971,359.9456,92.76803,90.50628,1.37778,0.1058182,0.104129,1.361533,81.61823,88.50047,
0.015949,1.344167,0.1093878,-0.04363251,359.944,92.75742,90.50158,1.377906,0.1057841,0.1040785,1.362483,81.62006,88.49961,
0.0175332,1.34417,0.1093711,-0.04361033,359.9469,92.75689,90.5112,1.377892,0.1058068,0.1040722,1.366958,81.62978,88.49924,
0.0156978,1.3442,0.1094102,-0.043648,359.9394,92.76309,90.50665,1.377754,0.1058353,0.1041725,1.369196,81.63678,88.50288,
0.016669,1.344251,0.1093965,-0.0436641,359.9437,92.75998,90.50386,1.377846,0.1058248,0.1041539,1.361581,81.62727,88.50256,
0.0166096,1.344193,0.1093882,-0.0437268,359.9425,92.75172,90.50558,1.377937,0.1057329,0.1041597,1.357538,81.62759,88.50947,
0.0166626,1.344125,0.1093503,-0.04372048,359.9497,92.76169,90.49862,1.377868,0.1057208,0.1041466,1.370989,81.63712,88.50797,
0.0143487,1.344005,0.1094813,-0.04369068,359.9416,92.75937,90.50282,1.377789,0.1057967,0.1041561,1.36428,81.63012,88.5109,
0.0152796,1.34399,0.1095078,-0.04368424,359.9405,92.7631,90.49426,1.377807,0.1057934,0.1041645,1.363436,81.6326,88.50883,
0.0149898,1.343986,0.1094636,-0.04372418,359.933,92.7672,90.50216,1.377795,0.1057845,0.1041046,1.363388,81.62206,88.49928,
0.0151116,1.344031,0.1094447,-0.04369879,359.9379,92.76501,90.49899,1.377816,0.1058131,0.1040572,1.363223,81.62095,88.50104,
0.0152689,1.344153,0.109373,-0.04367495,359.9389,92.76595,90.50076,1.377901,0.1057812,0.1041645,1.360478,81.62115,88.50381,
0.0140307,1.34416,0.1093612,-0.04366875,359.9329,92.76575,90.49893,1.377959,0.1058283,0.1041099,1.357004,81.62352,88.50381,
0.0146586,1.344184,0.109269,-0.04366612,359.9438,92.76851,90.49254,1.377954,0.1058645,0.1040652,1.354423,81.63123,88.49512,
0.0162623,1.344137,0.1093363,-0.04373753,359.9396,92.76818,90.49529,1.377937,0.105853,0.1040256,1.352039,81.6292,88.50288,
0.0169869,1.344178,0.1092985,-0.04366374,359.9348,92.76582,90.49879,1.378032,0.1058896,0.1040647,1.347931,81.63315,88.49426,
0.0151133,1.344215,0.1092939,-0.0436784,359.9355,92.77117,90.48634,1.378031,0.1058391,0.1040179,1.351343,81.63503,88.504,
0.0151498,1.344167,0.1093533,-0.04374409,359.9419,92.76788,90.49681,1.377948,0.1059101,0.1039715,1.34489,81.62917,88.50607,
0.0152913,1.344117,0.1093265,-0.04372239,359.9361,92.77354,90.48904,1.377919,0.1059055,0.1039653,1.345574,81.62476,88.49155,
0.01642,1.344107,0.1093657,-0.04358864,359.9367,92.77213,90.49586,1.37791,0.1058847,0.1039721,1.332261,81.62791,88.49912,
0.0143633,1.344104,0.1093784,-0.04359496,359.9314,92.7601,90.49409,1.377848,0.1059033,0.1040528,1.339022,81.62443,88.49406,
0.0149288,1.344141,0.1093631,-0.04363263,359.9368,92.76009,90.4949,1.37784,0.1058688,0.1040671,1.338224,81.63794,88.49559,
0.0159488,1.344135,0.1093866,-0.04364002,359.9233,92.76473,90.49152,1.377846,0.1058671,0.1040301,1.336065,81.63847,88.49585,
0.0141376,1.344126,0.1093859,-0.04364383,359.9308,92.77145,90.49174,1.378011,0.1058385,0.1040477,1.33737,81.63415,88.48104,
0.0151196,1.344126,0.1093859,-0.04364383,359.9308,92.77145,90.49174,1.378011,0.1058385,0.1040477,1.33737,81.63415,88.48104,
0.0140278,1.344201,0.1093584,-0.043589,359.9285,92.76922,90.49095,1.377998,0.1058474,0.1040847,1.322061,81.63407,88.48907,
0.0147279,1.344153,0.1093816,-0.04363811,359.9257,92.75807,90.49368,1.377935,0.1058736,0.1041249,1.326307,81.63241,88.47452,
0.0222531,1.344075,0.1093411,-0.04366064,359.9417,92.75124,90.4986,1.377935,0.105795,0.104128,1.330301,81.64363,88.48438,
0.0220707,1.344036,0.1093162,-0.0436852,359.9224,92.7618,90.49447,1.377848,0.1058597,0.1040826,1.326427,81.64158,88.48721,
0.0226268,1.344127,0.1093565,-0.04378355,359.9261,92.75386,90.49476,1.377862,0.1059602,0.1039838,1.325627,81.63261,88.4836,
