AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_15:42:49.218;0.4795017;-0.07356945;0.230005;1.004745;0.1299102;0.01866925;1.294486;0;0;0;-0.2032935;0.04399926;-0.2881778;347.1448;272.5867;0.3305698;-0.1553094;0;0;0;0;0;0;0;0;0;0;0;0;0.03251898;0.1316581;-0.006798267;272.184;326.0493;35.1279;0;0.423183;0.389538;-0.2717887;296.0215;354.7583;16.45759;0;0;0;0;0;0;0;-116.9473;0;6.790507;0;True;;True;False;True;False;left;left;;0.1416843;0.3118778;0.2548594;
MW;2023/03/06_15:42:49.218;0.4996433;-0.0733833;0.230005;1.006308;0.1302146;0.01869231;1.297133;0;0;0;-0.2033125;0.04394529;-0.2882046;347.1192;272.5977;0.3258933;-0.1356273;0;0;0;0;0;0;0;0;0;0;0;0;0.0345819;0.1323497;-0.01020288;272.2183;326.7644;34.22861;-0.1821434;0.3478714;0.3283422;-0.2032973;293.5024;352.8172;18.01301;8.237225;0;0;0;0;0;0;-117.0889;0;6.457932;0;True;;True;False;True;False;left;left;;0.2398422;0.7081452;0.2512237;
MW;2023/03/06_15:42:49.218;0.5164061;-0.07276097;0.230005;1.011761;0.1308858;0.01865995;1.302979;0;0;0;-0.2032798;0.04400942;-0.2882044;347.1351;272.584;0.3343712;-0.3196606;0;0;0;0;0;0;0;0;0;0;0;0;0.0344249;0.1332755;-0.0157901;272.4225;317.7505;43.60353;-0.3570372;0.361717;0.3266015;-0.190683;291.9678;353.655;17.29657;1.902867;0;0;0;0;0;0;-117.5858;0;6.613736;0;True;;True;False;True;False;left;left;;0.2725097;0.8297052;0.2603334;
MW;2023/03/06_15:42:49.218;0.5342197;-0.0720751;0.230005;1.017905;0.1315717;0.01864833;1.309232;0;0;0;-0.2033084;0.04406929;-0.2881415;347.1418;272.5809;0.3263033;-0.3394338;0;0;0;0;0;0;0;0;0;0;0;0;0.03440619;0.1342683;-0.02150631;272.2594;357.4899;3.183085;-0.3613003;0.3715371;0.319859;-0.1756718;289.6426;352.7382;18.02459;1.16265;0;0;0;0;0;0;-118.1388;0;6.088692;0;True;;True;False;True;False;left;left;;0.2855674;0.8799828;0.2622868;
MW;2023/03/06_15:42:49.218;0.5510054;-0.07173665;0.230005;1.021091;0.1319294;0.01865023;1.31254;0;0;0;-0.2032774;0.04406124;-0.2882016;347.1326;272.5812;0.3251131;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03513455;0.1349139;-0.02499962;272.1502;307.9077;53.4244;-0.3211592;0.368072;0.3071432;-0.1544579;286.6692;349.9864;20.37076;1.934553;0;0;0;0;0;0;-118.4244;0;6.170443;0;True;;True;False;True;False;left;left;;0.2994854;0.9327113;0.2652304;
MW;2023/03/06_15:42:49.218;0.572917;-0.0710009;0.2300051;1.027674;0.1325969;0.01862043;1.319226;0;0;0;-0.2032709;0.04412638;-0.2881761;347.13;272.5888;0.3281463;-0.3107825;0;0;0;0;0;0;0;0;0;0;0;0;0.03491151;0.1353681;-0.03138947;272.6959;332.0613;29.01503;-0.2644652;0.3646212;0.2924216;-0.1324458;283.7082;346.0373;23.5304;0.9251027;0;0;0;0;0;0;-119.0263;0;5.588474;0;True;;True;False;True;False;left;left;;0.3022102;0.9413226;0.2675181;
MW;2023/03/06_15:42:49.218;0.5949402;-0.07034469;0.2300051;1.034386;0.1332388;0.01864791;1.326018;0;0;0;-0.2032396;0.04409231;-0.2881288;347.1301;272.592;0.3219635;-0.3124629;0;0;0;0;0;0;0;0;0;0;0;0;0.03327096;0.1328113;-0.03999102;273.5161;344.6528;16.39194;-0.5186008;0.3573589;0.2762792;-0.1084768;280.3477;338.8453;30.37394;1.625598;0;0;0;0;0;0;-119.6297;0;5.33002;0;True;;True;False;True;False;left;left;;0.3128722;0.9701292;0.2813596;
MW;2023/03/06_15:42:49.218;0.6362753;-0.06913725;0.230005;1.048294;0.1344332;0.01864856;1.339618;0;0;0;-0.2032922;0.04406536;-0.2881317;347.1245;272.5836;0.3153396;-0.3103203;0;0;0;0;0;0;0;0;0;0;0;0;0.03264785;0.1313076;-0.0485121;272.0919;345.9746;14.93741;0;0.3540683;0.2612855;-0.08453476;277.4988;329.1525;39.66681;0;0;0;0;0;0;0;-120.8828;0;4.982357;0;True;;True;False;True;False;left;left;;0.288365;0.8902051;0.2632548;
MW;2023/03/06_15:42:49.218;0.6558771;-0.06857099;0.230005;1.054681;0.1349871;0.01863784;1.346102;0;0;0;-0.2032671;0.04407827;-0.2881894;347.148;272.5919;0.3246707;-0.3078153;0;0;0;0;0;0;0;0;0;0;0;0;0.03255725;0.1305935;-0.05449033;271.8049;303.9003;57.22906;-0.1771476;0.3542728;0.2486393;-0.06148314;274.7637;308.3477;60.15768;0.9412734;0;0;0;0;0;0;-121.4643;0;4.865276;0;True;;True;False;True;False;left;left;;0.2924842;0.9062291;0.2637077;
MW;2023/03/06_15:42:49.218;0.6727161;-0.06827992;0.2300051;1.057912;0.1352682;0.01865447;1.349608;0;0;0;-0.2032416;0.04406339;-0.2881581;347.1392;272.5808;0.33509;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03203142;0.1313455;-0.06561852;271.9353;302.051;58.95908;-1.002655;0.3524543;0.237432;-0.03827298;273.9619;266.6989;101.4688;2.095316;0;0;0;0;0;0;-121.7568;0;4.582854;0;True;;True;False;True;False;left;left;;0.3165846;0.9656835;0.3006551;
MW;2023/03/06_15:42:49.218;0.6916561;-0.06776251;0.230005;1.064939;0.1358001;0.01864868;1.356628;0;0;0;-0.2033422;0.04410218;-0.2881048;347.137;272.5834;0.3271637;-0.4005401;0;0;0;0;0;0;0;0;0;0;0;0;0.03257179;0.1337004;-0.07466328;272.5964;317.3887;43.69069;-0.4860318;0.3563071;0.2306156;-0.01897061;275.2467;232.5704;135.1945;0.8779094;0;0;0;0;0;0;-122.3894;0;4.374151;0;True;;True;False;True;False;left;left;;0.3174135;0.957875;0.3117789;
MW;2023/03/06_15:42:49.218;0.7099476;-0.06754211;0.230005;1.068523;0.1360621;0.01862663;1.360178;0;0;0;-0.2033663;0.04407667;-0.2881436;347.1519;272.5799;0.3228309;-0.3916701;0;0;0;0;0;0;0;0;0;0;0;0;0.03282809;0.1339004;-0.08407724;271.9793;336.5084;24.18343;-0.3989782;0.3551894;0.2223146;0.00210619;276.9811;217.7616;149.8071;1.111206;0;0;0;0;0;0;-122.7067;0;4.03536;0;True;;True;False;True;False;left;left;;0.3204201;0.9655415;0.3161388;
MW;2023/03/06_15:42:49.218;0.728157;-0.06697531;0.230005;1.07572;0.1365881;0.01864183;1.367599;0;0;0;-0.2033344;0.0440612;-0.2882413;347.1371;272.5908;0.3315844;-0.4431106;0;0;0;0;0;0;0;0;0;0;0;0;0.03285098;0.1342716;-0.09272802;271.8826;324.8953;36.06236;-0.2066874;0.3603064;0.2196283;0.01800704;278.4858;209.2343;158.2315;0.7091779;0;0;0;0;0;0;-123.3643;0;4.095708;0;True;;True;False;True;False;left;left;;0.3320393;0.9836898;0.3444673;
MW;2023/03/06_15:42:49.218;0.7503605;-0.06647989;0.230005;1.083086;0.1371185;0.01865786;1.374995;0;0;0;-0.2033565;0.04402345;-0.288256;347.1462;272.585;0.327746;-0.3177119;0;0;0;0;0;0;0;0;0;0;0;0;0.03502536;0.1322188;-0.1033148;271.6519;300.2755;60.82197;-0.4416035;0.3562865;0.2133188;0.03456187;279.6741;200.5546;166.8057;0.541371;0;0;0;0;0;0;-124.0321;0;4.121704;0;True;;True;False;True;False;left;left;;0.3314534;0.9676215;0.3581919;
MW;2023/03/06_15:42:49.218;0.8213472;-0.06498978;0.230005;1.103561;0.1385125;0.01867962;1.394721;0;0;0;-0.2032965;0.04396993;-0.2882575;347.1299;272.5822;0.326616;-0.322254;0;0;0;0;0;0;0;0;0;0;0;0;0.03358614;0.1318572;-0.111063;272.7762;322.2309;38.98104;0;0.357278;0.2097013;0.04659224;280.8745;194.3811;172.6657;0;0;0;0;0;0;0;-125.8806;0;4.05527;0;True;;True;False;True;False;left;left;;0.2619269;0.7557686;0.291939;
MW;2023/03/06_15:42:49.218;0.8414135;-0.06454413;0.230005;1.109405;0.1388774;0.01871014;1.400601;0;0;0;-0.2032727;0.04389833;-0.2882288;347.1267;272.587;0.3306751;-0.2621158;0;0;0;0;0;0;0;0;0;0;0;0;0.03145838;0.1312556;-0.117914;272.6317;344.931;15.96207;-0.3448002;0.3468299;0.2117069;0.06314564;283.1418;219.9404;146.5767;1.29076;0;0;0;0;0;0;-126.4037;0;3.340452;0;True;;True;False;True;False;left;left;;0.2687724;0.7703305;0.3047591;
MW;2023/03/06_15:42:49.219;0.8590727;-0.06429946;0.230005;1.115382;0.1391983;0.01871258;1.406403;0;0;0;-0.2033302;0.04390308;-0.2881466;347.1351;272.5984;0.3232156;-0.3367528;0;0;0;0;0;0;0;0;0;0;0;0;0.03205121;0.1310225;-0.1274695;271.4662;319.9844;40.43162;-0.4232875;0.3429229;0.2067571;0.067137;280.2448;208.8284;157.6551;0.3686253;0;0;0;0;0;0;-126.9351;0;3.272204;0;True;;True;False;True;False;left;left;;0.259869;0.720153;0.3193232;
MW;2023/03/06_15:42:49.219;0.877018;-0.0641319;0.2300051;1.118256;0.1393506;0.01868945;1.409232;0;0;0;-0.2033593;0.04396197;-0.2881837;347.1351;272.5971;0.3267463;-0.3251974;0;0;0;0;0;0;0;0;0;0;0;0;0.03300047;0.1316838;-0.1350287;273.071;314.6453;46.49527;-0.3800082;0.3420428;0.2081316;0.06968307;279.5377;205.2489;159.9862;0.2652743;0;0;0;0;0;0;-127.1947;0;3.068519;0;True;;True;False;True;False;left;left;;0.2549416;0.6974091;0.3223574;
MW;2023/03/06_15:42:49.219;0.8949118;-0.06383313;0.230005;1.124037;0.139617;0.01873881;1.415183;0;0;0;-0.2032448;0.04384253;-0.2882389;347.1239;272.5806;0.3323424;0.3605257;0;0;0;0;0;0;0;0;0;0;0;0;0.03173864;0.1315832;-0.1465912;272.9684;343.6549;17.01288;-0.6339998;0.3206731;0.1967542;0.076617;278.5518;206.6697;157.5768;0.8042111;0;0;0;0;0;0;-127.7148;0;2.347597;0;True;;True;False;True;False;left;left;;0.2704253;0.7236097;0.3580917;
MW;2023/03/06_15:42:49.219;0.9174919;-0.06345679;0.230005;1.129871;0.13985;0.01873684;1.420992;0;0;0;-0.2031846;0.04379749;-0.2882354;347.1511;272.6003;0.3336703;-0.2634422;0;0;0;0;0;0;0;0;0;0;0;0;0.03303862;0.1327538;-0.1543034;272.9052;311.6876;49.09827;-0.335564;0.3231642;0.2002475;0.07119179;277.5544;217.4121;146.1787;-0.3493748;0;0;0;0;0;0;-128.2483;0;2.087445;0;True;;True;False;True;False;left;left;;0.2593016;0.6796526;0.3575538;
MW;2023/03/06_15:42:49.219;0.9451447;-0.06321403;0.230005;1.138911;0.1401343;0.01873058;1.430013;0;0;0;-0.2032584;0.04381612;-0.2882481;347.1213;272.5924;0.3402348;-0.2545182;0;0;0;0;0;0;0;0;0;0;0;0;0.03202116;0.1352959;-0.164191;273.0202;351.2916;9.508848;0;0.301352;0.1889315;0.08173227;276.8338;220.2232;142.7736;0;0;0;0;0;0;0;-129.0612;0;1.805072;0;True;;True;False;True;False;left;left;;0.2570071;0.6811029;0.3469257;
MW;2023/03/06_15:42:49.219;0.9634914;-0.06312409;0.230005;1.141765;0.1402062;0.01867193;1.433094;0;0;0;-0.2032704;0.04393552;-0.2881886;347.1314;272.5944;0.3394062;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03359759;0.1348658;-0.1709197;273.7611;331.898;28.9632;-0.6219817;0.2790052;0.1789553;0.08504868;274.2945;239.8994;121.9318;2.033239;0;0;0;0;0;0;-129.3177;0;1.336451;0;True;;True;False;True;False;left;left;;0.277347;0.7487097;0.3606785;
MW;2023/03/06_15:42:49.219;0.9812918;-0.06305188;0.230005;1.148099;0.1403088;0.01868361;1.439281;0;0;0;-0.2032963;0.04396112;-0.2880893;347.1271;272.5941;0.3449948;0.33961;0;0;0;0;0;0;0;0;0;0;0;0;0.03138161;0.135205;-0.1815631;273.8583;331.5791;29.47466;-0.4346761;0.2719789;0.1739242;0.08166528;273.6863;273.3383;87.12022;-0.3794498;0;0;0;0;0;0;-129.8737;0;0.7867142;0;True;;True;False;True;False;left;left;;0.2765119;0.7319485;0.3740992;
MW;2023/03/06_15:42:49.219;0.9987602;-0.06298748;0.2300051;1.151191;0.1403245;0.01866567;1.442323;0;0;0;-0.2032733;0.04395974;-0.2882041;347.1245;272.5927;0.34406;0.3521949;0;0;0;0;0;0;0;0;0;0;0;0;0.03092051;0.1371684;-0.1915843;273.7827;335.4012;25.85042;-0.5737895;0.2715653;0.1732149;0.07234716;274.2167;310.0073;49.30696;-0.3174281;0;0;0;0;0;0;-130.1493;0;0.3456047;0;True;;True;False;True;False;left;left;;0.2738265;0.7112225;0.3840837;
MW;2023/03/06_15:42:49.219;1.017146;-0.06293522;0.230005;1.157317;0.140424;0.01866966;1.448722;0;0;0;-0.2032529;0.04398151;-0.2882065;347.1416;272.5985;0.3398719;0.3395137;0;0;0;0;0;0;0;0;0;0;0;0;0.02979207;0.1398504;-0.2023058;274.0552;338.8115;22.21974;-0.4229265;0.2627733;0.168288;0.06460428;273.8964;252.5639;109.6325;0.8056592;0;0;0;0;0;0;-130.7082;0;1.618527;0;True;;True;False;True;False;left;left;;0.2885131;0.7442078;0.4098445;
