AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_14:06:06.463;0.4543152;0.2803844;0.9494518;0.6599866;0.08352734;-5.960464E-08;0.4304142;0;0;0;0.1975913;1.538428;0.2329585;28.97659;13.26128;358.5528;0.3442847;0;0;0;0;0;0;0.1267451;0.1338232;-0.1778061;271.613;255.5263;123.9822;-0.009319067;0.147095;0.0108788;272.642;77.57403;304.6945;0.8665903;0.1267451;0.1338232;-0.1778061;271.613;255.5263;123.9822;-0.3400292;0;0;0;0;0;0;-39.17406;0;20.86881;0;True;;False;True;False;True;right;right;;0.2902361;0.30374;0.8572043;
MW;2023/03/06_14:06:06.463;0.4766388;0.28153;0.9489349;0.666774;0.08582331;-5.960464E-08;0.4364758;0;0;0;0.1962661;1.537498;0.2337892;28.8724;12.91214;358.6784;0.3138961;0;0;0;0;0;0;0.1219041;0.1357703;-0.188042;272.3527;236.9877;142.2739;-0.001638293;0.1431062;0.02431154;273.3214;97.72719;284.2293;0.6434233;0.1219041;0.1357703;-0.188042;272.3527;236.9877;142.2739;-0.4643098;0;0;0;0;0;0;-39.74769;0;20.58622;0;True;;False;True;False;True;right;right;;0.2913079;0.3237783;0.8414533;
MW;2023/03/06_14:06:06.463;0.4986801;0.2823489;0.9485332;0.6738384;0.08807753;-5.960464E-08;0.4425513;0;0;0;0.1944272;1.536768;0.2349716;28.64137;12.63117;358.7633;0.3239092;0;0;0;0;0;0;0.1193521;0.1359866;-0.1966996;272.0056;245.3002;134.3395;0.007300138;0.1395717;0.0366292;274.0794;89.46906;291.52;0.5539228;0.1193521;0.1359866;-0.1966996;272.0056;245.3002;134.3395;-0.2690521;0;0;0;0;0;0;-40.32498;0;20.2808;0;True;;False;True;False;True;right;right;;0.2894108;0.3316217;0.8260213;
MW;2023/03/06_14:06:06.463;0.5210266;0.2825579;0.9483095;0.681404;0.09019364;-5.960464E-08;0.4484868;0;0;0;0.1925573;1.53658;0.236908;28.21419;12.36427;358.7067;0.3340198;0;0;0;0;0;0;0.1182594;0.1348259;-0.2058861;272.7158;248.9965;130.8379;0.0136776;0.1362882;0.04379082;272.633;69.68095;309.5923;0.430096;0.1182594;0.1348259;-0.2058861;272.7158;248.9965;130.8379;-0.4431517;0;0;0;0;0;0;-40.89293;0;19.52302;0;True;;False;True;False;True;right;right;;0.2818905;0.3399908;0.7875714;
MW;2023/03/06_14:06:06.463;0.543232;0.2825108;0.9481601;0.6893835;0.09214668;-5.960464E-08;0.4542938;0;0;0;0.1899152;1.536096;0.2391583;27.60762;12.16875;358.5994;0.3640366;0;0;0;0;0;0;0.1137735;0.1374693;-0.2141695;273.5845;303.5575;76.40649;0.02141905;0.1303689;0.04739451;271.019;163.049;214.2856;0.3845491;0.1137735;0.1374693;-0.2141695;273.5845;303.5575;76.40649;-0.4919441;0;0;0;0;0;0;-41.44697;0;18.66426;0;True;;False;True;False;True;right;right;;0.2742476;0.3487395;0.7482508;
MW;2023/03/06_14:06:06.463;0.5653877;0.2817677;0.9479536;0.6974211;0.0939822;-5.960464E-08;0.4600524;0;0;0;0.1870053;1.535352;0.241246;27.10284;11.95567;358.6321;0.3713698;0;0;0;0;0;0;0.1095736;0.1395559;-0.2244331;272.8938;207.3603;171.4954;0.02949584;0.1295409;0.05108953;270.5941;223.5874;152.1069;0.3675924;0.1095736;0.1395559;-0.2244331;272.8938;207.3603;171.4954;-0.4959042;0;0;0;0;0;0;-41.99066;0;17.26794;0;True;;False;True;False;True;right;right;;0.2705502;0.3680094;0.7141912;
MW;2023/03/06_14:06:06.463;0.587532;0.2802541;0.947381;0.7050312;0.09570177;-5.960464E-08;0.4656921;0;0;0;0.1834981;1.534028;0.2427965;26.84715;11.7558;358.6877;0.3557594;0;0;0;0;0;0;0.1089036;0.1381633;-0.2356848;271.9781;266.5049;112.4408;0.03477049;0.133482;0.05393195;272.9377;339.1503;35.15695;0.2247783;0.1089036;0.1381633;-0.2356848;271.9781;266.5049;112.4408;-0.5417791;0;0;0;0;0;0;-42.52574;0;16.63917;0;True;;False;True;False;True;right;right;;0.2634368;0.3827542;0.6709929;
MW;2023/03/06_14:06:06.463;0.6096802;0.2781761;0.9466457;0.7120366;0.09731187;-5.960464E-08;0.4711711;0;0;0;0.1796137;1.5326;0.2442814;26.8404;11.66373;358.8375;0.3250464;0;0;0;0;0;0;0.1037335;0.1380551;-0.243675;272.4422;294.0405;85.23915;0.03994775;0.1352758;0.05136919;274.5718;354.2279;19.3052;-0.3840228;0.1037335;0.1380551;-0.243675;272.4422;294.0405;85.23915;-0.4751966;0;0;0;0;0;0;-43.04536;0;16.44108;0;True;;False;True;False;True;right;right;;0.2558952;0.3877396;0.6358412;
MW;2023/03/06_14:06:06.463;0.6320305;0.2755978;0.9460231;0.7189602;0.09884213;-5.960464E-08;0.4765634;0;0;0;0.1754077;1.531789;0.2460661;26.83942;11.61298;359.0921;0.3265434;0;0;0;0;0;0;0.09796321;0.140646;-0.2533059;271.7316;295.1705;83.9357;0.04188812;0.1336119;0.04425812;272.7538;54.28132;317.9991;-0.4506731;0.09796321;0.140646;-0.2533059;271.7316;295.1705;83.9357;-0.4861782;0;0;0;0;0;0;-43.55234;0;15.67927;0;True;;False;True;False;True;left;left;;0.251775;0.3991587;0.6079413;
MW;2023/03/06_14:06:06.463;0.654171;0.2729397;0.9459249;0.7264971;0.1003354;-5.960464E-08;0.4818919;0;0;0;0.1712771;1.531744;0.2484563;26.7533;11.57744;359.5102;0.3559752;0;0;0;0;0;0;0.09545147;0.1403477;-0.2645187;272.0994;331.5751;47.96331;0.04345691;0.1330214;0.03648496;273.0683;357.2544;14.36032;-0.3751401;0.09545147;0.1403477;-0.2645187;272.0994;331.5751;47.96331;-0.602053;0;0;0;0;0;0;-44.05205;0;15.59811;0;True;;False;True;False;True;left;left;;0.248901;0.4108719;0.5847322;
