dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,
0.0056152,0.2204958,0.1402388,-0.4855273,272.5982,358.1519,6.22962,0.3968033,0.1374042,-0.5303557,273.0846,210.6059,167.9157,0,0,0,0,0,0,0.3609537,7.450581E-08,-0.2210321,0,355.3095,0,0,0,0,0,0,0,
0.0113383,0.2204356,0.1402974,-0.485792,272.5893,358.2335,6.149077,0.3968852,0.1372123,-0.5302798,273.0808,210.5505,167.9623,0,0,0,0,0,0,0.3609959,7.450581E-08,-0.2210964,0,355.3164,0,0,0,0,0,0,0,
0.0110297,0.2204554,0.1402647,-0.4858023,272.5868,358.2361,6.14149,0.3968827,0.1372104,-0.5302721,273.084,210.57,167.9472,0,0,0,0,0,0,0.3609993,7.450581E-08,-0.2211111,0,355.3335,0,0,0,0,0,0,0,
0.0110529,0.2201754,0.1402552,-0.486432,272.5564,358.1062,6.266131,0.3968829,0.1372001,-0.5302542,273.0881,210.598,167.9139,0,0,0,0,0,0,0.3609566,7.450581E-08,-0.2212032,0,355.3444,0,0,0,0,0,0,0,
0.0110781,0.2201947,0.1401634,-0.4865878,272.5504,358.1644,6.210873,0.3971647,0.1373377,-0.5304602,273.087,210.5529,167.9583,0,0,0,0,0,0,0.3609468,7.450581E-08,-0.2211982,0,355.3365,0,0,0,0,0,0,0,
0.011447,0.2202095,0.140101,-0.4866753,272.5473,358.2034,6.171781,0.3971577,0.1371596,-0.5306714,273.0876,210.4977,168.016,0,0,0,0,0,0,0.3609911,7.450581E-08,-0.2211458,0,355.3206,0,0,0,0,0,0,0,
0.010917,0.2200397,0.1402707,-0.4865855,272.5546,358.0822,6.298525,0.3969977,0.1370742,-0.5310346,273.0929,210.6511,167.8665,0,0,0,0,0,0,0.3609587,7.450581E-08,-0.2211051,0,355.3322,0,0,0,0,0,0,0,
0.0111206,0.2200404,0.140234,-0.4866436,272.5564,358.0806,6.300568,0.3970658,0.1371191,-0.5310963,273.0918,210.6174,167.897,0,0,0,0,0,0,0.3609597,7.450581E-08,-0.2210858,0,355.3257,0,0,0,0,0,0,0,
0.0111442,0.2199687,0.1404371,-0.4861938,272.5807,358.1313,6.254535,0.3970826,0.137104,-0.5311484,273.0963,210.599,167.9183,0,0,0,0,0,0,0.3608563,7.450581E-08,-0.2210528,0,355.3376,0,0,0,0,0,0,0,
0.0111316,0.2199841,0.1404178,-0.4861935,272.5794,358.1097,6.280685,0.3970954,0.1370795,-0.5312239,273.0895,210.6659,167.8546,0,0,0,0,0,0,0.3608166,7.450581E-08,-0.2210389,0,355.3397,0,0,0,0,0,0,0,
